% Ex(V/m)	Ey(V/m)	Ez(V/m)
6.095353e-04	-1.924586e-03	5.286025e-04
6.365020e-04	-1.956896e-03	5.526682e-04
6.104744e-04	-1.978887e-03	5.279956e-04
5.294250e-04	-1.982259e-03	4.519442e-04
4.307985e-04	-1.974274e-03	3.616964e-04
3.699314e-04	-1.967852e-03	3.127466e-04
3.825446e-04	-1.968730e-03	3.413008e-04
4.584538e-04	-1.972402e-03	4.377473e-04
5.457937e-04	-1.972790e-03	5.505395e-04
5.831199e-04	-1.972306e-03	6.179307e-04
5.374891e-04	-1.981743e-03	6.057517e-04
4.236283e-04	-2.009302e-03	5.264289e-04
2.933110e-04	-2.049730e-03	4.284286e-04
2.039036e-04	-2.085020e-03	3.651142e-04
1.870271e-04	-2.097020e-03	3.639449e-04
2.358218e-04	-2.080760e-03	4.144277e-04
3.158998e-04	-2.046770e-03	4.797975e-04
3.903012e-04	-2.011241e-03	5.226032e-04
4.414808e-04	-1.983859e-03	5.270900e-04
4.769347e-04	-1.964024e-03	5.048807e-04
5.165416e-04	-1.946951e-03	4.819746e-04
5.718327e-04	-1.931657e-03	4.772913e-04
6.326887e-04	-1.922337e-03	4.883453e-04
6.717535e-04	-1.922675e-03	4.944939e-04
6.640788e-04	-1.930274e-03	4.754634e-04
6.077208e-04	-1.937805e-03	4.310809e-04
5.290772e-04	-1.939974e-03	3.861678e-04
4.671602e-04	-1.939066e-03	3.749056e-04
4.469316e-04	-1.943330e-03	4.148151e-04
4.612685e-04	-1.959649e-03	4.898403e-04
4.760373e-04	-1.987430e-03	5.568394e-04
4.559776e-04	-2.018843e-03	5.729509e-04
3.930271e-04	-2.044165e-03	5.252009e-04
3.159289e-04	-2.056721e-03	4.409567e-04
2.731252e-04	-2.053820e-03	3.710618e-04
3.003824e-04	-2.035213e-03	3.570355e-04
3.957258e-04	-2.002911e-03	4.049750e-04
5.189167e-04	-1.963252e-03	4.835676e-04
6.152609e-04	-1.927835e-03	5.462673e-04
6.470734e-04	-1.909710e-03	5.612607e-04
6.122166e-04	-1.915981e-03	5.289272e-04
5.394751e-04	-1.942686e-03	4.767659e-04
4.666827e-04	-1.977000e-03	4.378011e-04
4.179114e-04	-2.005556e-03	4.287296e-04
